Issue Type,Summary,Description,Priority,Labels,Components
Task,DH-34 Notification Orchestration,"Goal: Deliver push, SMS, and Telegram notification pipeline. Depends: DH-21,DH-22,DH-31,DH-32. Gate: Operations-Ready v2.",High,"domhub,notifications,push,sms,telegram","Backend;Integrations"
Task,DH-35 Property Admin Operational Dashboard,"Goal: Implement object-level operational dashboard. Depends: DH-16,DH-24,DH-34. Gate: Portfolio-Ready v2+.",High,"domhub,analytics,admin,dashboard","Backend;Frontend"
Task,DH-36 Management Company Portfolio API,"Goal: Add company-level aggregated views across properties. Depends: DH-35. Gate: Portfolio-Ready v2+.",High,"domhub,portfolio,company,api","Backend"
Task,DH-37 Management Company Portfolio UI,"Goal: Implement portfolio view for management company admins. Depends: DH-36. Gate: Portfolio-Ready v2+.",High,"domhub,portfolio,company,ui","Frontend"
Task,DH-38 Platform Admin Registry And Property Lifecycle,"Goal: Implement control plane for client and property management. Depends: DH-01,DH-39. Gate: Portfolio-Ready v2+.",High,"domhub,platform,admin,lifecycle","Backend;Frontend"
Task,DH-39 Packaging And Feature Gating Enforcement,"Goal: Enforce module packaging and feature flags. Depends: DH-01. Gate: Portfolio-Ready v2+.",High,"domhub,packaging,feature-flags,platform","Backend;Frontend"
Task,DH-40 Webhooks And Outbound Integration Baseline,"Goal: Implement outbound integration and event delivery baseline. Depends: DH-16,DH-24,DH-34. Gate: Portfolio-Ready v2+.",High,"domhub,integrations,webhooks,events","Backend;Integrations"
Task,DH-41 SKUD Adapter Framework,"Goal: Create integration framework for access-control vendor adapters. Depends: DH-14,DH-40. Gate: Pilot-To-Production Hardening.",High,"domhub,integrations,skud,adapters","Backend;Integrations"
Task,DH-42 SKUD Vendor Integration Wave 1,"Goal: Implement first production-priority SKUD integrations. Depends: DH-41. Gate: Pilot-To-Production Hardening.",High,"domhub,integrations,skud,vendors","Integrations"
Task,DH-43 Video Evidence Integration,"Goal: Link access and incidents to video evidence context. Depends: DH-08,DH-16,DH-41. Gate: Pilot-To-Production Hardening.",Medium,"domhub,integrations,video,evidence","Integrations;Backend"
Task,DH-44 ERP / 1C / ЖКХ Exchange Baseline,"Goal: Implement first practical ERP and 1C exchange layer. Depends: DH-20,DH-40. Gate: Pilot-To-Production Hardening.",Medium,"domhub,integrations,erp,1c","Integrations;Backend"
Task,DH-45 Analytics Aggregation Jobs,"Goal: Implement KPI aggregation and reporting data flow. Depends: DH-35,DH-36. Gate: Pilot-To-Production Hardening.",Medium,"domhub,analytics,kpi,jobs","Backend;Data"
Task,DH-46 Onboarding Center And Import Wizard,"Goal: Implement reusable onboarding flow for new properties. Depends: DH-20,DH-38. Gate: Pilot-To-Production Hardening.",High,"domhub,onboarding,import,wizard","Backend;Frontend;Ops"
Task,DH-47 Deployment And Tenant Ops Automation,"Goal: Automate tenant provisioning, migrations, and rollback-safe ops. Depends: DH-38,DH-46. Gate: Pilot-To-Production Hardening.",High,"domhub,deployment,tenant-ops,automation","Data;Ops"
Task,DH-48 Regression E2E And Release Gates,"Goal: Implement release-blocking test gates for core platform flows. Depends: DH-18,DH-26,DH-37,DH-46. Gate: Pilot-To-Production Hardening.",High,"domhub,qa,e2e,release-gates","QA"
Task,DH-49 Pilot Rollout Tooling And Runbooks,"Goal: Deliver pilot-ready operational tooling and support playbooks. Depends: DH-46,DH-47,DH-48. Gate: Pilot-To-Production Hardening.",Medium,"domhub,pilot,runbooks,ops","Ops"
Task,DH-50 Meter Readings Module,"Goal: Implement meter reading submission and management. Depends: DH-21,DH-46. Gate: Expansion Layer.",Medium,"domhub,meter-readings,expansion","Backend;Frontend"
Task,DH-51 Billing Records Baseline,"Goal: Add billing record visibility and finance-linked data model. Depends: DH-44. Gate: Expansion Layer.",Medium,"domhub,billing,finance,expansion","Backend;Frontend"
Task,DH-52 Space Booking Module,"Goal: Implement reservation workflows for shared spaces. Depends: DH-21,DH-39. Gate: Expansion Layer.",Medium,"domhub,booking,spaces,expansion","Backend;Frontend"
Task,DH-53 OCR And Smart Capture,"Goal: Add OCR-assisted capture where applicable. Depends: DH-50. Gate: Expansion Layer.",Low,"domhub,ocr,smart-capture,expansion","Integrations;Backend"
Task,DH-54 White-Label And Branding Expansion,"Goal: Expand branding controls for customer-facing deployments. Depends: DH-39. Gate: Expansion Layer.",Low,"domhub,white-label,branding,expansion","Frontend;Platform"
Task,DH-55 Resident Lifecycle And Ownership Changes,"Goal: Implement owner/resident/tenant/representative lifecycle and offboarding cascades. Depends: DH-04; DH-21. Gate: Russia Production Readiness.",High,"domhub,russia-readiness,resident-lifecycle,offboarding","Backend;Frontend"
Task,DH-56 RU Personal Data Compliance Controls,"Goal: Implement consent history, sensitive data classification, DSAR workflow, localization readiness, and no-biometrics guardrail. Depends: DH-21; DH-38; DH-48. Gate: Russia Production Readiness.",High,"domhub,russia-readiness,pdn,compliance","Backend;Ops"
Task,DH-57 Emergency Dispatch Mode,"Goal: Implement emergency request behavior with priority, SLA, escalation, and urgent notifications. Depends: DH-22; DH-24; DH-26. Gate: Russia Production Readiness.",High,"domhub,russia-readiness,emergency,dispatch","Backend;Frontend"
Task,DH-58 GIS ЖКХ And OSS Readiness,"Goal: Add document/protocol/export readiness without claiming legal GIS/OSS authority in MVP. Depends: DH-32; DH-33; DH-44. Gate: Russia Production Readiness.",Medium,"domhub,russia-readiness,gis-zhkh,oss","Backend;Frontend;Ops"
Task,DH-59 Hardware Device Registry And Manual-Control Boundaries,"Goal: Model SKUD, barriers, gates, intercoms, LPR, cameras, and fallback boundaries. Depends: DH-06; DH-41. Gate: Russia Production Readiness.",Medium,"domhub,russia-readiness,hardware,skud","Backend;Integrations"
Task,DH-60 Sensitive Action Audit And Anti-Abuse Reviews,"Goal: Add reports and review workflows for grants, policy changes, overrides, exports, video access, and provider changes. Depends: DH-08; DH-16; DH-35; DH-36. Gate: Russia Production Readiness.",High,"domhub,russia-readiness,audit,anti-abuse","Backend;Data"
Task,DH-61 Pilot Operations And Training Pack,"Goal: Package first-week support, guard training, emergency drill, offboarding, and PDn support runbooks. Depends: DH-49; DH-55; DH-56; DH-57. Gate: Russia Production Readiness.",Medium,"domhub,russia-readiness,pilot,runbooks","Ops;QA"
Task,DH-62 Legacy Runtime Removal,"Goal: Remove deprecated /api/* aliases, legacy UI/runtime paths, fallback flags, and unmigrated legacy data dependencies after v1 cutover and release gates prove no supported flow depends on them. Depends: DH-48; DH-49; DH-50; DH-51; DH-52; DH-55; DH-56. Gate: Legacy Cutover.",High,"domhub,legacy,cutover,runtime-removal","Backend;Frontend;Data;QA"
